Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
WL-OUT,5,6/28/2017,CMP 180,2.11,8,45,0.897,0.648,0.54,2.39,2.11,0.76,0.02,1.33,15.4,38.2,8.9
WL-OUT,6,6/28/2017,CMP 181,2.26,8.01,43.8,0.935,0.623,0.528,2.27,2.14,0.79,0.01,1.34,15.3,35,8
WL-OUT,7,6/28/2017,CMP 182,2.23,8.04,41.2,0.877,0.629,0.534,2.25,2.08,0.85,0.01,1.21,16.1,32.6,7.8
WL-OUT,8,6/28/2017,CMP 183,2.22,7.97,30.4,0.916,0.623,0.52,2,1.73,0.93,0.01,0.79,18.4,28.1,7.7
WL-OUT,9,6/28/2017,CMP 184,2.24,8.05,44.2,0.973,0.667,0.577,2.14,1.94,0.95,0.01,0.97,18.6,42.4,9.4
WL-OUT,10,6/28/2017,CMP 185,2.29,8.16,84.6,1.205,0.718,0.618,2.61,2.43,0.89,0.01,1.52,17.3,73.7,15.9
WL-OUT,11,6/28/2017,CMP 186,2.26,8.03,58,1.001,0.642,0.546,2.2,2.15,0.82,0.01,1.31,18,57.8,11.3
WL-OUT,12,6/28/2017,CMP 187,2.23,8.01,40,0.877,0.61,0.509,2.15,2,0.87,0.01,1.11,17.4,34.7,7.3
WL-OUT,13,6/28/2017,CMP 188,2.22,8.07,47.7,0.897,0.629,0.529,2.38,2.07,0.8,0.01,1.26,17.7,32.9,7.2
WL-OUT,14,6/28/2017,CMP 189,2.26,8.01,51.2,0.963,0.636,0.537,2.44,2.14,0.83,0.02,1.3,16.7,43.6,9.3
WL-OUT,15,6/28/2017,CMP 190,2.24,7.93,43,0.863,0.629,0.462,2.05,1.85,0.93,0.01,0.91,20.5,41.3,9
WL-OUT,16,6/28/2017,CMP 191,2.25,7.85,43,0.82,0.591,0.497,2.35,2.12,0.94,0.01,1.18,19.6,34,7.6
WL-OUT,17,6/28/2017,CMP 192,2.12,7.98,37.4,0.801,0.598,0.498,2.09,1.84,0.86,0.02,0.96,19.6,30,6.9
WL-OUT,18,6/28/2017,CMP 193,2.3,8.02,20.7,0.839,0.617,0.517,1.52,1.4,1.02,0.02,0.36,20.7,20.5,7
WL-OUT,19,6/28/2017,CMP 194,2.27,7.93,27.3,0.849,0.604,0.486,1.67,1.43,1.11,0.01,0.31,20.8,23.4,7.4
WL-OUT,20,6/28/2017,CMP 195,2.24,7.89,27.9,0.868,0.598,0.466,1.77,1.52,0.97,0.01,0.54,21.6,28.3,7.8
WL-OUT,21,6/28/2017,CMP 196,2.07,7.99,28,0.868,0.636,0.518,1.68,1.51,1.06,0.01,0.44,22.3,27,8.2
WL-OUT,22,6/28/2017,CMP 197,2.23,8,37.1,0.925,0.629,0.523,1.81,1.64,0.96,0.03,0.64,19.6,30.5,11
WL-OUT,23,6/28/2017,CMP 198,2.25,7.98,33.9,0.944,0.629,0.526,1.81,1.52,0.98,0.02,0.52,19.8,29.3,6.8
WL-OUT,24,6/28/2017,CMP 199,2.15,7.92,21.6,0.877,0.629,0.521,1.48,1.37,1.08,0.01,0.28,21.6,18.2,6.3
HL,1,6/28/2017,CMP 200,2.16,8.02,106,0.992,0.553,0.461,2.45,2.22,0.73,0.02,1.47,16.1,90.8,15.6
HL,2,6/28/2017,CMP 201,2.2,8.15,123,1.172,0.667,0.577,2.9,2.71,0.7,0.02,1.98,14.8,108,16.8
HL,3,6/28/2017,CMP 202,2.36,8.06,91.2,1.134,0.693,0.585,2.81,2.54,0.78,0.02,1.75,17,79.9,14
HL,4,6/28/2017,CMP 203,2.54,8.15,86.5,1.058,0.68,0.523,2.78,2.51,0.98,0,1.52,20.3,78.8,15.6
HL,5,6/28/2017,CMP 204,2.6,8.12,575,2.805,0.712,0.582,2.56,2.34,1.15,0.01,1.18,22.9,484,52.3
HL,6,6/28/2017,CMP 205,2.64,8.22,88.1,1.096,0.705,0.583,2.15,2.07,0.91,0.01,1.14,19.9,81,13.5
HL,7,6/28/2017,CMP 206,2.59,8.21,61.1,0.954,0.705,0.593,2.09,1.97,0.99,0.01,0.97,19.8,54.5,9.7
HL,8,6/28/2017,CMP 207,2.47,8.22,76.6,1.001,0.699,0.596,2.38,2.21,0.83,0.01,1.37,18.3,68.6,10.4
HL,9,6/28/2017,CMP 208,2.26,8.21,109,1.22,0.743,0.605,3.16,3.09,0.89,0.03,2.17,15.7,100.6,15.4
HL,10,6/28/2017,CMP 209,2.27,8.22,142,1.367,0.807,0.684,3.46,3.29,0.79,0.02,2.48,16.5,114.5,15.7
HL,11,6/28/2017,CMP 210,2.22,8.23,144,1.177,0.636,0.551,2.77,2.62,0.71,0.03,1.88,14.5,116.1,15.3
HL,12,6/28/2017,CMP 211,2.25,8.19,115,1.153,0.598,0.511,2.56,2.49,0.73,0.04,1.73,14,96.2,13.6
HL,13,6/28/2017,CMP 212,2.22,8.23,101,0.868,0.585,0.501,2.53,2.41,0.63,0.04,1.74,13.6,80.2,12.4
HL,14,6/28/2017,CMP 213,2.18,8.21,95.5,0.897,0.598,0.521,2.72,2.47,0.67,0.04,1.75,14,75.3,11.6
HL,15,6/28/2017,CMP 214,2.2,8.2,100,1.039,0.655,0.574,2.89,2.79,0.7,0.05,2.05,14.6,88.3,11.4
HL,16,6/28/2017,CMP 215,2.27,8.28,101,1.087,0.718,0.624,3.02,2.86,0.77,0.05,2.05,14.9,95.1,16.6
HL,17,6/28/2017,CMP 216,2.34,8.26,98.5,1.106,0.782,0.665,3.26,3.05,0.9,0.06,2.08,15.8,84.9,13.2
HL,18,6/28/2017,CMP 217,2.39,8.24,74.8,1.077,0.762,0.654,3.07,2.82,0.89,0.04,1.89,16.4,66.5,11
HL,19,6/28/2017,CMP 218,2.37,8.22,65.8,1.058,0.756,0.665,2.99,2.8,0.76,0.06,1.98,16.5,55.8,9.8
HL,20,6/28/2017,CMP 219,2.27,8.23,93.5,1.068,0.743,0.649,3.01,2.93,0.75,0.06,2.12,15.5,72.7,12
HL,21,6/28/2017,CMP 220,2.25,8.24,101,1.011,0.699,0.604,3.06,2.83,0.82,0.06,1.95,14.5,93.5,11.6
HL,22,6/28/2017,CMP 221,2.2,8.25,102,1.001,0.648,0.56,2.96,2.62,0.68,0.06,1.88,14.7,97.1,8.1
HL,23,6/28/2017,CMP 222,2.2,8.2,99,1.144,0.617,0.528,2.67,2.57,0.75,0.05,1.77,13.8,81.9,11.8
HL,24,6/28/2017,CMP 223,2.22,8.21,99,0.935,0.61,0.54,2.62,2.48,0.69,0.05,1.74,13.4,75.9,10.3
SD,1,6/12/2017,CMP 224,2.53,7.87,64.6,0.944,0.35,0.254,2.72,2.6,1.19,0.39,1.02,22,60.5,16.2
FM,1,6/12/2017,CMP 225,2.31,8.06,78.2,0.659,0.395,0.332,1.5,1.65,0.62,0.09,0.95,12.7,61.4,11.9
HL,1,6/14/2017,CMP 226,2.15,8.2,40.5,1.077,0.864,0.742,3.47,3.76,0.68,0.1,2.98,15.3,37.6,7.1
PT,1,6/14/2017,CMP 227,2.57,8.17,53.7,0.858,0.598,0.519,2.09,2.38,0.75,0.11,1.51,15.5,40.1,10.8
FM,1,7/17/2017,CMP 228,2.89,8.2,69.1,0.693,0.397,0.376,2.67,1.97,0.61,0.02,1.34,12.6,62.7,13.3
FM,2,7/17/2017,CMP 229,2.79,8.23,65.9,0.739,0.465,0.441,3.06,2.18,0.58,0.02,1.58,12,63.3,11.6
FM,3,7/17/2017,CMP 230,2.82,8.22,58.3,0.656,0.459,0.438,2.67,2.17,0.62,0.03,1.52,13.4,53.6,10.8
FM,4,7/17/2017,CMP 231,2.9,8.26,92.3,0.749,0.465,0.443,2.44,1.95,0.59,0.01,1.35,13,88.4,13.5
FM,5,7/17/2017,CMP 232,2.87,8.19,130,0.841,0.446,0.414,2.58,2.05,0.68,0.02,1.35,13.8,126.3,19.9
FM,6,7/17/2017,CMP 233,2.75,8.25,211,1.034,0.41,0.384,2.56,2,0.55,0.02,1.42,11.9,207.9,29.5
FM,7,7/17/2017,CMP 234,2.75,8.23,352,1.357,0.453,0.436,3.02,2.18,0.52,0.03,1.63,11.6,333.7,48
FM,8,7/17/2017,CMP 235,2.76,8.27,158,0.868,0.428,0.406,2.61,2.13,0.55,0.02,1.55,11.1,147.2,21.7
FM,9,7/17/2017,CMP 236,2.79,8.28,175,0.933,0.446,0.419,2.99,2.09,0.59,0.02,1.48,12.4,161.8,24.1
FM,10,7/17/2017,CMP 237,2.56,8.24,128,0.656,0.288,0.267,2.38,1.51,0.54,0.02,0.95,10.6,127.8,17.1
FM,11,7/17/2017,CMP 238,2.85,8.18,69.5,0.592,0.317,0.295,2.35,1.64,0.51,0.03,1.1,9.9,69.6,9.9
FM,12,7/17/2017,CMP 239,3.09,8.18,72.2,0.362,0.207,0.184,1.39,1.1,0.38,0.03,0.69,8,67.2,10.8
FM,13,7/17/2017,CMP 240,2.74,8.21,48.1,0.463,0.331,0.305,1.94,1.6,0.47,0.02,1.11,10.6,42.1,8.5
FM,14,7/17/2017,CMP 241,2.7,8.24,56.5,0.592,0.397,0.374,2.49,1.92,0.57,0.01,1.34,11.3,51.2,9.4
FM,15,7/17/2017,CMP 242,2.75,8.28,60.2,0.629,0.489,0.419,2.44,2.05,0.51,0.02,1.52,11.3,53.5,10
FM,16,7/17/2017,CMP 243,2.84,8.34,52.9,0.601,0.459,0.436,2.43,2.07,0.54,0.02,1.51,11.6,47.3,9.4
FM,17,7/17/2017,CMP 244,2.88,8.24,52.4,0.629,0.454,0.432,2.55,1.99,0.55,0.03,1.4,12.2,50.4,10.4
FM,18,7/17/2017,CMP 245,2.9,8.29,56.2,0.62,0.446,0.419,2.51,1.97,0.64,0.02,1.3,12.4,52.5,11.2
FM,19,7/17/2017,CMP 246,2.94,8.27,85.2,0.73,0.45,0.425,2.56,1.97,0.67,0.04,1.26,12.9,86.4,12.6
FM,20,7/17/2017,CMP 247,3,8.19,360,1.404,0.428,0.39,3.15,1.94,0.7,0.03,1.22,12.8,348.3,45.7
FM,21,7/17/2017,CMP 248,2.79,8.25,422,1.569,0.556,0.53,3.77,2.7,0.69,0.04,1.96,12.5,386.2,47.7
FM,22,7/17/2017,CMP 249,2.8,8.27,253,1.246,0.502,0.478,2.95,2.37,0.65,0.03,1.69,12.1,231.2,31.2
FM,23,7/17/2017,CMP 250,2.75,8.24,150,0.822,0.41,0.376,2.22,1.94,0.57,0.02,1.35,11.7,133.4,21.8
FM,24,7/17/2017,CMP 251,2.6,8.2,119,0.592,0.287,0.262,1.89,1.57,0.61,0.03,0.93,10.9,110.4,18.1
SD,1,7/17/2017,CMP 252,2.79,8.29,122,0.915,0.508,0.471,2.95,2.28,0.53,0.03,1.71,11.3,121.9,16.5
SD,2,7/17/2017,CMP 253,2.76,8.23,144,0.951,0.515,0.478,3.22,2.32,0.54,0.01,1.77,11.7,126,17.1
SD,3,7/17/2017,CMP 254,2.82,8.2,154,1.045,0.541,0.502,3.62,2.48,0.56,0.02,1.91,12.2,130.7,18.5
SD,4,7/17/2017,CMP 255,2.84,8.1,127,0.868,0.53,0.492,3.15,2.43,0.57,0.01,1.85,13.2,99.6,12.6
SD,5,7/17/2017,CMP 256,2.82,8.22,112,0.776,0.538,0.5,3.25,2.53,0.63,0.02,1.88,12.5,97.4,13.2
SD,6,7/17/2017,CMP 257,2.76,8.19,74.4,0.832,0.591,0.551,3.59,2.7,0.66,0.03,2.01,12.3,69.3,11
SD,7,7/17/2017,CMP 258,2.33,8.17,63.9,0.703,0.537,0.502,2.83,2.43,0.56,0.01,1.85,12.5,59.5,10.2
SD,8,7/17/2017,CMP 259,2.78,8.11,80.7,0.62,0.46,0.42,2.38,2.08,0.5,0.01,1.58,11.8,79.5,12.8
SD,9,7/17/2017,CMP 260,2.88,8.04,78,0.601,0.393,0.308,2.08,1.76,0.5,0.01,1.25,11.6,75,13.3
SD,10,7/17/2017,CMP 261,2.94,7.92,59.4,0.509,0.325,0.289,1.99,1.56,0.46,0.01,1.08,10.8,39.8,4.9
SD,11,7/17/2017,CMP 262,2.98,7.8,63.1,0.454,0.282,0.234,1.75,1.46,0.55,0,0.91,12.6,57.2,10.4
SD,12,7/17/2017,CMP 263,2.96,7.95,64.3,0.481,0.313,0.276,1.72,1.52,0.48,0.01,1.03,9.8,60.2,10.8
SD,13,7/17/2017,CMP 264,2.87,7.85,59.6,0.592,0.368,0.325,2.06,1.74,0.57,0.01,1.17,11.1,53.7,9.7
SD,14,7/17/2017,CMP 265,2.81,8.03,68.7,0.62,0.43,0.382,2.15,2.02,0.54,0.01,1.47,10.8,58,8.6
SD,15,7/17/2017,CMP 266,2.83,7.98,69.8,0.721,0.499,0.463,3.11,2.33,0.61,0.01,1.71,12.4,64.5,9.5
SD,16,7/17/2017,CMP 267,2.86,7.98,74,0.776,0.528,0.483,3.11,2.4,0.6,0.01,1.79,13.1,68.7,9.8
SD,17,7/17/2017,CMP 268,2.89,8.04,92.9,0.795,0.491,0.454,3.02,2.4,0.7,0.03,1.67,13.4,94.5,13.4
SD,18,7/17/2017,CMP 269,2.9,8.06,98.6,0.73,0.491,0.43,2.9,2.11,0.58,0.04,1.49,14,93.8,12.9
SD,19,7/17/2017,CMP 270,2.97,7.96,169,0.887,0.424,0.373,2.38,1.82,0.64,0.02,1.16,14.7,144.7,19
SD,20,7/17/2017,CMP 271,3.02,7.86,168,0.924,0.38,0.341,2.22,1.64,0.67,0.01,0.96,15.9,151.6,20.5
SD,21,7/17/2017,CMP 272,2.82,8.28,134,0.97,0.626,0.587,2.9,2.69,0.55,0.01,2.13,13.2,121.4,17.4
SD,22,7/17/2017,CMP 273,2.84,8.3,161,0.951,0.553,0.516,2.83,2.6,0.58,0.04,1.98,12.1,158.5,18.5
SD,23,7/17/2017,CMP 274,2.8,8.27,120,0.758,0.491,0.456,2.72,2.22,0.55,0.01,1.66,11.3,108,14.8
SD,24,7/17/2017,CMP 275,2.85,8.27,129,0.737,0.438,0.389,2.35,1.97,0.48,0.02,1.47,11,111.1,15.5
HL,1,7/18/2017,CMP 276,2.76,8.3,53.3,0.919,0.797,0.764,3.84,3.05,0.92,0.01,2.12,14.5,51.5,8.8
HL,2,7/18/2017,CMP 277,2.74,8.39,59,0.878,0.742,0.687,4.05,2.74,0.86,0.02,1.87,13.7,54.7,8.6
HL,3,7/18/2017,CMP 278,2.84,8.37,46.9,0.951,0.81,0.747,3.5,2.72,0.95,0.01,1.76,15.3,38.5,7.8
HL,4,7/18/2017,CMP 279,2.92,8.33,49.2,0.859,0.736,0.701,3.13,2.69,0.76,0.01,1.91,15.4,44.6,9.8
HL,5,7/18/2017,CMP 280,2.98,8.28,44.6,0.868,0.716,0.683,2.97,2.44,0.79,0.01,1.64,15.8,30.4,7
HL,6,7/18/2017,CMP 281,2.85,8.48,60.3,0.933,0.773,0.729,3.16,2.99,0.74,0.01,2.24,14.6,59,10.1
HL,7,7/18/2017,CMP 282,2.78,8.45,62.6,0.988,0.81,0.772,3.45,2.72,0.74,0.01,1.98,14.3,59.3,10.9
HL,8,7/18/2017,CMP 283,2.74,8.38,69.1,0.951,0.742,0.712,3.48,2.67,0.75,0.03,1.89,13.7,65.8,10.9
HL,9,7/18/2017,CMP 284,2.76,8.37,63.1,0.851,0.66,0.627,3.64,2.92,0.61,0.03,2.28,13,62.6,10.2
HL,10,7/18/2017,CMP 285,2.76,8.34,63,0.776,0.6,0.571,3.13,2.69,0.58,0.03,2.08,12.7,57.9,8.2
HL,11,7/18/2017,CMP 286,2.76,8.35,57.7,0.684,0.552,0.518,3.06,2.46,0.56,0.02,1.88,12,54.4,10.2
HL,12,7/18/2017,CMP 287,2.79,8.34,45.7,0.62,0.495,0.432,2.95,2.26,0.55,0.01,1.69,11.5,45,9.1
HL,13,7/18/2017,CMP 288,2.72,8.31,47.5,0.721,0.558,0.519,3.18,2.53,0.57,0.05,1.9,13.2,47,8.1
HL,14,7/18/2017,CMP 289,2.75,8.33,63.3,0.85,0.638,0.609,3.38,2.79,0.57,0.03,2.18,13.9,59.8,10.2
HL,15,7/18/2017,CMP 290,2.76,8.33,66.7,0.965,0.791,0.679,3.29,2.48,0.71,0.05,1.72,15.5,57,10.5
HL,16,7/18/2017,CMP 291,2.82,8.33,51.5,0.896,0.758,0.69,3.25,3.07,0.64,0.02,2.41,15.4,50.5,8.6
HL,17,7/18/2017,CMP 292,2.88,8.33,65.4,0.951,0.73,0.701,3.15,2.86,0.7,0.03,2.13,16.6,55.2,8.4
HL,18,7/18/2017,CMP 293,2.95,8.32,62.7,0.942,0.758,0.706,2.93,2.66,0.76,0.05,1.86,17.4,61.7,10.1
HL,19,7/18/2017,CMP 294,3.01,8.35,57.4,0.887,0.732,0.703,2.88,2.38,0.79,0.03,1.56,17,54.6,9.1
HL,20,7/18/2017,CMP 295,3.04,8.32,53.1,0.841,0.724,0.686,2.58,2.35,0.85,0.03,1.47,17.1,50.8,8.3
HL,21,7/18/2017,CMP 296,2.95,8.32,67.6,0.951,0.741,0.712,3.2,2.93,0.98,0.04,1.91,16.5,64.1,10.3
HL,22,7/18/2017,CMP 297,2.75,8.34,77.1,1.117,0.923,0.893,3.85,3.47,0.92,0.06,2.49,15.6,58.3,8.6
HL,23,7/18/2017,CMP 298,2.76,8.29,78.7,0.988,0.804,0.755,3.85,3.08,1.04,0.04,2.01,14.8,67.3,9.7
HL,24,7/18/2017,CMP 299,2.77,8.34,66.6,0.896,0.699,0.659,3.52,3.19,0.8,0.04,2.35,13.9,56.8,8.2
PT,1,7/18/2017,CMP 300,2.8,8.44,55.3,1.053,0.828,0.811,4.25,3,0.82,0.03,2.16,14.6,54.8,8.5
PT,2,7/18/2017,CMP 301,2.88,8.44,49,0.988,0.736,0.716,3.57,2.96,0.71,0.02,2.23,15.9,47.9,7.9
PT,3,7/18/2017,CMP 302,2.92,8.42,60.4,0.997,0.718,0.7,3.61,2.73,0.72,0.01,1.99,15.9,58.1,8.9
PT,4,7/18/2017,CMP 303,2.89,8.4,54.9,0.933,0.718,0.701,3.11,2.8,0.78,0.01,2.01,16,47.6,10
PT,5,7/18/2017,CMP 304,2.82,8.44,51.3,0.98,0.786,0.764,3.91,2.62,0.76,0.03,1.83,15,43,10.3
PT,6,7/18/2017,CMP 305,2.8,8.43,67.3,1.136,0.816,0.795,4.66,2.73,0.67,0.03,2.04,14.4,63.1,10.2
PT,7,7/18/2017,CMP 306,2.76,8.42,66.8,0.988,0.726,0.711,3.93,2.67,0.68,0.02,1.97,13.7,63.5,10.5
PT,8,7/18/2017,CMP 307,2.77,8.35,74.8,0.961,0.613,0.598,3.93,2.84,0.62,0.02,2.2,13,66.7,8.3
PT,9,7/18/2017,CMP 308,2.79,8.3,60.3,0.776,0.552,0.542,3.45,2.56,0.59,0.03,1.93,12.4,50.6,6.9
PT,10,7/18/2017,CMP 309,2.81,8.35,47.7,0.73,0.539,0.524,3.11,2.5,0.57,0.02,1.91,12.5,47.4,6.8
PT,11,7/18/2017,CMP 310,2.77,8.3,48.8,0.684,0.515,0.502,2.95,2.42,0.58,0.01,1.83,12.7,43.9,6.7
PT,12,7/18/2017,CMP 311,2.74,8.3,78.2,0.841,0.536,0.524,3.09,2.48,0.56,0.03,1.89,13,78.1,10.5
PT,13,7/18/2017,CMP 312,3.06,8.29,117,1.062,0.65,0.638,3.57,2.85,0.64,0.01,2.2,13.4,115.3,15.3
PT,14,7/18/2017,CMP 313,3.06,8.25,113,1.154,0.73,0.716,3.41,3.02,0.61,0.01,2.4,14.2,99.1,13.2
PT,15,7/18/2017,CMP 314,3.14,8.3,94.1,1.126,0.73,0.716,3.98,2.91,0.67,0.02,2.22,15.1,91.7,13.5
PT,16,7/18/2017,CMP 315,3.14,8.27,72.9,0.979,0.718,0.693,3.11,2.7,0.66,0.03,2.01,15.2,64.7,9.5
PT,17,7/18/2017,CMP 316,3.1,8.32,71.4,0.909,0.706,0.674,3.06,2.57,0.68,0.01,1.88,15,61.8,9.6
PT,18,7/18/2017,CMP 317,3.2,8.36,81.1,0.915,0.669,0.657,3.13,2.52,0.82,0.02,1.68,15,69.8,10.3
PT,19,7/18/2017,CMP 318,3.18,8.28,54.2,0.979,0.7,0.667,3.64,2.5,0.8,0.01,1.69,15.3,50.1,7.4
PT,20,7/18/2017,CMP 319,3.17,8.27,85,1.025,0.718,0.706,3.61,2.74,0.7,0.02,2.02,15,77.7,12.8
PT,21,7/18/2017,CMP 320,3,8.26,90.6,1.191,0.829,0.818,4.37,3.12,0.95,0.01,2.15,14.4,76,13.2
PT,22,7/18/2017,CMP 321,2.82,8.3,81.3,1.099,0.833,0.81,4.16,3.1,0.92,0.03,2.15,13.6,77.2,12.3
PT,23,7/18/2017,CMP 322,2.78,8.31,74.9,1.062,0.798,0.773,4.34,2.94,0.88,0.03,2.02,13.2,66.7,10.5
PT,24,7/18/2017,CMP 323,2.8,8.29,69.9,1.016,0.743,0.7,4.07,2.78,0.92,0.03,1.83,13.2,60.5,10.3
WL-OUT,1,7/19/2017,CMP 324,2.8,8.09,17.5,0.758,0.586,0.551,3.35,2.22,0.57,0.01,1.64,13.7,15.8,3.4
WL-OUT,2,7/19/2017,CMP 325,2.83,8.08,18.8,0.749,0.61,0.571,2.94,2.36,0.61,0.01,1.74,13.5,17.1,5.4
WL-OUT,3,7/19/2017,CMP 326,2.82,8.09,21.3,0.758,0.604,0.561,3.1,2.36,0.61,0.01,1.74,14,22,5.2
WL-OUT,4,7/19/2017,CMP 327,2.79,8.18,22.3,0.785,0.598,0.569,3.26,2.37,0.62,0.01,1.74,13.7,21.1,4.7
WL-OUT,5,7/19/2017,CMP 328,2.78,8.14,19,0.721,0.573,0.554,3.03,2.39,0.75,0.01,1.63,14.2,18.5,5.9
WL-OUT,6,7/19/2017,CMP 329,2.85,8.11,17.2,0.747,0.531,0.513,2.89,2.01,0.79,0.02,1.19,14.8,14.6,5.1
WL-OUT,7,7/19/2017,CMP 330,2.84,8.14,21.4,0.804,0.61,0.547,3.01,2.3,0.79,0.01,1.5,14.1,18.8,4.1
WL-OUT,8,7/19/2017,CMP 331,2.82,8.07,31.4,0.804,0.589,0.572,3.19,2.35,0.63,0.03,1.7,13.9,23.3,10.4
WL-OUT,9,7/19/2017,CMP 332,2.8,8.05,23.1,0.758,0.586,0.566,2.83,2.34,0.64,0.03,1.67,13.6,22.8,11.5
WL-OUT,10,7/19/2017,CMP 333,2.83,8.16,25.3,0.841,0.664,0.649,3.54,2.72,0.57,0.02,2.12,13.9,23.8,12.6
WL-OUT,11,7/19/2017,CMP 334,2.86,8.17,38.9,0.976,0.727,0.706,3.67,2.49,0.7,0.04,1.75,14.2,32.6,10.2
WL-OUT,12,7/19/2017,CMP 335,2.8,8.25,30.5,0.988,0.739,0.703,3.99,2.51,0.65,0.03,1.83,14,28.2,14.1
WL-OUT,13,7/19/2017,CMP 336,2.83,8.19,27,0.896,0.717,0.703,3.97,2.44,0.62,0.03,1.8,14,26.7,5.5
WL-OUT,14,7/19/2017,CMP 337,2.8,8.11,31.6,0.882,0.685,0.674,3.56,2.95,0.78,0.03,2.14,14,26.5,14.1
WL-OUT,15,7/19/2017,CMP 338,2.85,8.07,22.3,0.887,0.637,0.617,3.74,2.6,0.72,0.04,1.84,14,20.3,8.5
WL-OUT,16,7/19/2017,CMP 339,2.83,8.01,26.7,0.942,0.69,0.667,3.51,2.51,0.73,0.03,1.74,14.4,25.1,11.6
WL-OUT,17,7/19/2017,CMP 340,2.86,8.03,23.4,0.832,0.622,0.606,3.01,2.43,0.79,0.04,1.61,14.4,19.9,10.7
WL-OUT,18,7/19/2017,CMP 341,2.87,8.07,21.1,0.832,0.61,0.585,2.73,2.39,0.93,0.05,1.41,14.6,16.5,4.4
WL-OUT,19,7/19/2017,CMP 342,2.85,8.01,20.4,0.785,0.629,0.603,2.71,2.33,0.9,0.04,1.39,15,15.6,4.5
WL-OUT,20,7/19/2017,CMP 343,2.84,8.02,19.6,0.85,0.606,0.591,3.08,2.18,0.69,0.02,1.47,14.5,18.9,4.9
WL-OUT,21,7/19/2017,CMP 344,2.88,8.03,19.4,0.82,0.589,0.574,3.31,2.25,0.86,0.03,1.37,15,17.6,8.6
WL-OUT,22,7/19/2017,CMP 345,2.85,7.94,18.8,0.832,0.598,0.572,2.92,1.98,0.79,0.03,1.16,15.6,17.7,5.9
WL-OUT,23,7/19/2017,CMP 346,2.89,8.05,17.6,0.776,0.598,0.579,2.67,2.17,0.95,0.01,1.21,15,18.9,6.4
WL-OUT,24,7/19/2017,CMP 347,2.92,7.98,19.4,0.785,0.58,0.563,2.73,2.25,1.13,0.02,1.11,15.6,18.5,9.2
PT,1,7/24/2017,CMP 348,3.1,7.87,33.9,0.795,0.604,0.592,2.85,2.49,0.86,0.01,1.62,13.7,28,7.3
PT,2,7/24/2017,CMP 349,3.12,7.84,32.3,0.73,0.592,0.572,2.44,2.16,0.75,0.01,1.39,13.4,31.7,4.6
PT,3,7/24/2017,CMP 350,3.11,7.9,26.3,0.712,0.578,0.572,2.37,2.2,0.92,0.01,1.27,14.3,21.9,5.3
PT,4,7/24/2017,CMP 351,3.07,7.75,30.2,0.767,0.554,0.55,2.09,1.94,0.99,0.01,0.94,15.7,19.6,5.3
PT,5,7/24/2017,CMP 352,3.13,7.76,29.3,0.721,0.553,0.543,2.16,2.01,0.8,0.01,1.19,14.8,26.4,6
PT,6,7/24/2017,CMP 353,3.13,7.74,19.3,0.758,0.567,0.548,2,1.75,0.93,0.02,0.8,16.7,13.6,2.3
PT,7,7/24/2017,CMP 354,3.08,7.73,15.2,0.739,0.567,0.55,1.77,1.41,0.87,0.01,0.53,17.8,14.2,2.6
PT,8,7/24/2017,CMP 355,3.12,7.71,20,0.705,0.561,0.542,1.96,1.44,0.87,0.02,0.55,18.7,16,3.9
PT,9,7/24/2017,CMP 356,3.13,7.77,18.6,0.693,0.573,0.556,1.77,1.53,0.96,0.01,0.56,18.4,15.3,4.3
PT,10,7/24/2017,CMP 357,3.14,7.7,14,0.739,0.577,0.563,1.84,1.43,0.95,0.01,0.46,18.5,13.4,4.7
