Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
HL,22,8/22/2017,CMP 537,5.98,8.33,106.2,0.914,0.71,0.615,2.85,2.33,0.91,0,1.41,14.5,103,12.7
HL,23,8/22/2017,CMP 538,5.95,8.33,65.2,0.886,0.649,0.601,2.47,2.1,0.96,0,1.14,15.7,62.2,8.4
HL,24,8/22/2017,CMP 539,5.98,8.43,66.4,0.843,0.618,0.585,2.44,2.1,1.13,0,0.96,16.4,55.7,9.4
FM,1,8/23/2017,CMP 540,6.92,8.3,61.2,0.64,0.445,0.422,1.98,1.77,0.66,0.01,1.1,12.1,56,7.3
FM,2,8/23/2017,CMP 541,7.41,8.13,164,0.714,0.255,0.233,1.71,1.3,0.7,0,0.6,10.1,130.5,15.8
FM,3,8/23/2017,CMP 542,7.81,8.12,86.4,0.335,0.089,0.08,1.12,0.79,0.61,0,0.18,8,81.3,9.6
FM,4,8/23/2017,CMP 543,7.67,8.05,57,0.253,0.144,0.134,1.24,1.02,0.69,0,0.33,9.2,53.3,7
FM,5,8/23/2017,CMP 544,7.78,8.03,49.7,0.198,0.12,0.09,1.14,0.86,0.62,0,0.24,8,43.2,5.5
FM,6,8/23/2017,CMP 545,7.5,8.06,52,0.229,0.147,0.115,1.21,0.96,0.65,0,0.31,8.6,43.1,7
FM,7,8/23/2017,CMP 546,7.3,8.19,49.1,0.484,0.316,0.283,1.63,1.39,0.65,0,0.74,10.3,37.1,6.1
FM,8,8/23/2017,CMP 547,6.93,8.28,40.4,0.561,0.433,0.415,1.9,1.7,0.55,0,1.14,10.6,36,5.3
FM,9,8/23/2017,CMP 548,6.87,8.32,36.5,0.548,0.482,0.426,1.87,1.73,0.62,0,1.12,11.3,33,5
FM,10,8/23/2017,CMP 549,6.94,8.23,103.6,0.733,0.427,0.402,1.99,1.63,0.54,0,1.09,11.1,101,12.5
FM,11,8/23/2017,CMP 550,6.97,8.19,140.2,0.855,0.396,0.385,2.02,1.59,0.56,0,1.03,11.3,133,16
FM,12,8/23/2017,CMP 551,7.08,8.3,95.7,0.683,0.385,0.364,1.85,1.54,0.53,0,1.01,10.4,87.3,10.7
FM,13,8/23/2017,CMP 552,7.15,8.28,67,0.622,0.384,0.379,1.85,1.57,0.48,0,1.09,10,62.7,7.9
FM,14,8/23/2017,CMP 553,7.23,8.1,127.5,0.634,0.31,0.295,1.7,1.4,0.58,0,0.82,10.7,115,13.8
FM,15,8/23/2017,CMP 554,7.61,8.05,92.3,0.432,0.166,0.153,1.36,1.01,0.58,0,0.43,9.2,70,10.3
FM,16,8/23/2017,CMP 555,8.4,8.12,133.1,0.654,0.238,0.221,1.61,1.12,0.47,0,0.65,7.3,129,15.2
FM,17,8/23/2017,CMP 556,7.54,8.19,40.6,0.481,0.316,0.298,1.88,1.39,0.53,0,0.86,9.5,37.8,5.4
FM,18,8/23/2017,CMP 557,7.35,8.13,43.9,0.456,0.31,0.259,1.74,1.4,0.47,0,0.93,10,37.5,5.7
FM,19,8/23/2017,CMP 558,7.13,8.25,49.3,0.585,0.402,0.362,1.77,1.58,0.54,0.01,1.03,10.4,41.7,6.4
FM,20,8/23/2017,CMP 559,7.09,8.25,55.2,0.604,0.421,0.358,1.86,1.58,0.57,0.01,1.01,11.1,44.4,7.2
FM,21,8/23/2017,CMP 560,7.04,8.16,54.8,0.602,0.372,0.337,1.79,1.52,0.62,0.02,0.87,11.5,52.8,7.5
FM,22,8/23/2017,CMP 561,7.24,8.2,74.7,0.591,0.347,0.325,1.63,1.46,0.66,0.02,0.78,11.9,74.1,9.8
FM,23,8/23/2017,CMP 562,7.25,8.2,122,0.708,0.322,0.302,1.71,1.41,0.71,0.02,0.68,12.6,121.6,14.6
FM,24,8/23/2017,CMP 563,7.27,8.23,114,0.694,0.332,0.31,1.88,1.49,0.72,0,0.77,12.6,97.6,12
SD,1,8/23/2017,CMP 564,7.36,8.21,174,0.848,0.368,0.355,1.99,1.55,0.53,0,1.02,9.3,147.3,17.2
SD,2,8/23/2017,CMP 565,7.92,8.24,158,0.693,0.307,0.268,1.61,1.32,0.49,0,0.83,8.2,146.4,14.5
SD,3,8/23/2017,CMP 566,8.21,8.15,97.3,0.518,0.252,0.226,1.36,1.2,0.47,0,0.73,8.3,86.1,9.3
SD,4,8/23/2017,CMP 567,7.69,8.27,60.7,0.579,0.35,0.329,1.67,1.44,0.49,0,0.94,8.7,60.8,8.1
SD,5,8/23/2017,CMP 568,7.37,8.29,68.1,0.561,0.399,0.361,1.75,1.66,0.59,0,1.06,10.1,51.6,8.2
SD,6,8/23/2017,CMP 569,7.25,8.3,81.2,0.616,0.418,0.385,1.86,1.7,0.57,0,1.12,10.6,62.6,9.7
SD,7,8/23/2017,CMP 570,6.82,8.32,66.9,0.702,0.485,0.451,2.01,1.8,0.53,0,1.27,10.4,62.5,7.2
SD,8,8/23/2017,CMP 571,6.68,8.37,70.9,0.739,0.553,0.465,2.19,1.92,0.61,0,1.3,10.6,60.4,6.2
SD,9,8/23/2017,CMP 572,6.67,8.33,74.9,0.751,0.522,0.457,2.19,1.85,0.59,0.01,1.25,11.2,66.3,7.1
SD,10,8/23/2017,CMP 573,6.68,8.33,64.9,0.702,0.516,0.463,2.08,1.82,0.55,0.01,1.26,10.7,57,6.6
SD,11,8/23/2017,CMP 574,6.71,8.34,81.5,0.794,0.527,0.495,2.24,1.98,0.58,0,1.4,10.5,78.2,7.5
SD,12,8/23/2017,CMP 575,7.22,8.34,109,0.726,0.43,0.394,1.9,1.74,0.57,0.01,1.16,10.2,99.6,10.2
SD,13,8/23/2017,CMP 576,7.73,8.21,142,0.69,0.332,0.307,1.68,1.49,0.56,0.01,0.92,8.1,115.7,11.7
SD,14,8/23/2017,CMP 577,8.13,8.17,118,0.561,0.264,0.248,1.41,1.28,0.52,0,0.76,7.3,105.3,10.7
SD,15,8/23/2017,CMP 578,7.99,8.15,62.3,0.456,0.295,0.269,1.38,1.29,0.5,0.01,0.77,7.7,60.1,5.3
SD,16,8/23/2017,CMP 579,7.68,8.21,55.8,0.511,0.35,0.316,1.57,1.46,0.51,0.01,0.94,8.4,51.9,6
SD,17,8/23/2017,CMP 580,7.03,8.2,58.4,0.536,0.368,0.332,1.67,1.51,0.51,0.02,0.98,8.4,55.9,5.8
SD,18,8/23/2017,CMP 581,6.77,8.23,70.3,0.673,0.418,0.411,2.05,1.7,0.47,0.02,1.21,9.5,69.3,8.6
SD,19,8/23/2017,CMP 582,6.71,8.23,76,0.738,0.498,0.451,2.2,1.84,0.54,0.02,1.28,10.1,75.5,8.2
SD,20,8/23/2017,CMP 583,6.69,8.26,77.8,0.722,0.461,0.424,2.11,1.73,0.56,0.02,1.15,11.1,74.5,8.1
SD,21,8/23/2017,CMP 584,6.71,8.25,97.8,0.726,0.473,0.414,2.02,1.76,0.66,0.02,1.08,11.1,90.5,10
SD,22,8/23/2017,CMP 585,6.74,8.2,104,0.739,0.455,0.399,1.98,1.63,0.66,0,0.96,11.3,98.7,11.7
SD,23,8/23/2017,CMP 586,6.74,8.2,107,0.763,0.455,0.397,1.98,1.66,0.69,0,0.97,11.6,94.5,10.5
SD,24,8/23/2017,CMP 587,6.63,8.21,130,0.908,0.553,0.494,2.33,2.1,0.61,0.1,1.39,10.5,116.8,11.8
FM,1,8/28/2017,CMP 588,7.39,8.19,51.1,0.542,0.316,0.235,1.98,1.83,0.84,0.1,0.89,12.6,43.2,6.8
FM,2,8/28/2017,CMP 589,7.33,8.28,282,1.292,0.353,0.272,2.41,1.81,0.82,0.04,0.94,10.3,244.7,24.8
FM,3,8/28/2017,CMP 590,7.28,8.31,58.8,0.619,0.353,0.287,2.1,1.63,0.71,0.03,0.89,9.7,56.7,7.2
FM,4,8/28/2017,CMP 591,7.25,8.29,55.8,0.505,0.343,0.259,2.05,1.57,0.7,0.03,0.83,10.1,54,7.3
FM,5,8/28/2017,CMP 592,7.44,8.3,53.8,0.567,0.318,0.216,1.98,1.52,0.7,0.02,0.8,8.9,49.2,5.6
FM,6,8/28/2017,CMP 593,7.41,8.29,71.5,0.561,0.304,0.186,2.08,1.49,0.68,0.03,0.78,8.6,58.6,8.2
FM,7,8/28/2017,CMP 594,7.58,8.33,50.4,0.487,0.283,0.192,1.83,1.43,0.68,0.02,0.73,8.2,38.3,6.8
FM,8,8/28/2017,CMP 595,8.07,8.16,52.3,0.241,0.109,0.051,1.37,0.82,0.56,0.02,0.24,7,28.7,7.1
FM,9,8/28/2017,CMP 596,8.03,8.09,45.5,0.198,0.058,0.02,1.32,0.68,0.52,0.03,0.14,6.8,29.9,5.9
FM,10,8/28/2017,CMP 597,8.02,8.19,33.7,0.333,0.15,0.081,1.57,0.95,0.54,0.03,0.38,7,28.1,3.9
FM,11,8/28/2017,CMP 598,7.89,8.13,59.2,0.376,0.14,0.069,1.45,0.93,0.57,0.03,0.33,7.2,56.6,7.2
FM,12,8/28/2017,CMP 599,7.97,8.14,47.3,0.235,0.092,0.038,1.39,0.75,0.51,0.03,0.21,6.9,42.3,9.5
FM,13,8/28/2017,CMP 600,7.73,8.2,44,0.339,0.196,0.112,1.62,1.11,0.57,0.02,0.52,7.4,31.4,4.7
FM,14,8/28/2017,CMP 601,7.54,8.22,46,0.425,0.274,0.161,1.85,1.34,0.64,0.01,0.69,8.3,32.4,4.3
FM,15,8/28/2017,CMP 602,7.44,8.22,81.9,0.628,0.301,0.229,1.96,1.58,0.78,0.02,0.78,10.8,70.4,10.4
FM,16,8/28/2017,CMP 603,7.37,8.2,48.4,0.499,0.313,0.229,1.79,1.42,0.66,0.01,0.74,9.4,40.8,5.3
FM,17,8/28/2017,CMP 604,7.35,8.24,62.1,0.456,0.307,0.235,1.75,1.46,0.77,0.02,0.66,9.8,38.6,7.6
FM,18,8/28/2017,CMP 605,7.37,8.17,44.5,0.547,0.308,0.21,1.95,1.41,0.76,0.04,0.61,9.5,38.6,6.6
FM,19,8/28/2017,CMP 606,7.43,8.18,87.7,0.561,0.293,0.223,1.9,1.38,0.72,0.01,0.65,9.4,72.7,9.5
FM,20,8/28/2017,CMP 607,7.1,8.27,57,0.591,0.426,0.296,2.2,1.78,0.73,0.01,1.03,11.3,44.5,12
FM,21,8/28/2017,CMP 608,7.28,8.08,46.1,0.554,0.34,0.232,1.96,1.58,0.69,0.02,0.87,10,39.4,5.9
FM,22,8/28/2017,CMP 609,7.48,8.19,50.5,0.462,0.257,0.186,1.79,1.38,0.7,0.01,0.68,8.3,47.7,5.1
FM,23,8/28/2017,CMP 610,7.81,8.08,51.6,0.287,0.153,0.087,1.54,1.05,0.63,0,0.41,7.4,35,7.5
FM,24,8/28/2017,CMP 611,7.81,8.02,43.1,0.266,0.143,0.075,1.46,0.94,0.57,0.01,0.36,7.2,35.2,7.9
SD,1,8/28/2017,CMP 612,7.17,8.23,63.4,0.622,0.338,0.272,1.95,1.78,0.63,0.02,1.13,9,53.8,8.3
SD,2,8/28/2017,CMP 613,7.21,8.28,59.1,0.579,0.355,0.339,2.19,1.91,0.69,0.02,1.2,8.6,55.6,6.3
SD,3,8/28/2017,CMP 614,7.07,8.3,66.9,0.64,0.362,0.296,2.03,1.9,0.66,0.02,1.22,9.1,61.8,7
SD,4,8/28/2017,CMP 615,7.02,8.23,88.1,0.658,0.369,0.321,2.06,1.87,0.59,0.01,1.27,9.2,61.8,7.7
SD,5,8/28/2017,CMP 616,7.16,8.25,87.7,0.653,0.367,0.302,1.99,1.9,0.65,0.03,1.22,9.5,61.1,6.8
SD,6,8/28/2017,CMP 617,7.23,8.28,66.2,0.616,0.369,0.312,1.98,1.85,0.62,0.02,1.2,8.6,61.5,8.4
SD,7,8/28/2017,CMP 618,7.44,8.28,73.8,0.585,0.327,0.272,1.84,1.72,0.57,0.02,1.13,8.1,59.9,9.3
SD,8,8/28/2017,CMP 619,7.63,8.25,68.8,0.539,0.288,0.235,1.75,1.59,0.53,0.02,1.03,7.6,54.8,8.9
SD,9,8/28/2017,CMP 620,7.94,8.22,61.9,0.444,0.225,0.198,1.59,1.41,0.53,0.01,0.86,7.1,45.7,7.3
SD,10,8/28/2017,CMP 621,8.14,8.23,89.5,0.499,0.204,0.155,1.51,1.39,0.59,0,0.8,6.7,76.5,11.3
SD,11,8/28/2017,CMP 622,8.08,8.18,42.2,0.382,0.205,0.18,1.53,1.31,0.49,0.01,0.81,7.8,35.6,5.1
SD,12,8/28/2017,CMP 623,7.92,8.25,47.8,0.444,0.231,0.21,1.63,1.44,0.56,0,0.87,7.1,39,5.7
SD,13,8/28/2017,CMP 624,7.62,8.25,33.9,0.481,0.282,0.253,1.8,1.62,0.61,0,1.01,7.6,27.5,5.1
SD,14,8/28/2017,CMP 625,7.48,8.23,37.6,0.468,0.299,0.241,1.76,1.55,0.51,0,1.04,7.8,28.9,5
SD,15,8/28/2017,CMP 626,7.26,8.28,30.8,0.493,0.332,0.306,1.94,1.8,0.66,0,1.13,8.4,25.5,4.2
SD,16,8/28/2017,CMP 627,7.17,8.24,38,0.548,0.36,0.339,1.98,1.73,0.57,0.01,1.15,8.5,31.8,5.3
SD,17,8/28/2017,CMP 628,7.12,8.23,47.1,0.578,0.346,0.278,2.24,1.81,0.64,0.01,1.16,8.6,44.9,6.1
SD,18,8/28/2017,CMP 629,7.09,8.25,47.9,0.596,0.347,0.309,2.17,1.91,0.74,0.03,1.15,9,46.9,6
SD,19,8/28/2017,CMP 630,7.09,8.2,47.4,0.585,0.346,0.278,2.09,1.84,0.69,0.02,1.13,9.1,47,5.2
SD,20,8/28/2017,CMP 631,7.86,8.27,39,0.69,0.456,0.377,2.15,1.93,0.53,0.01,1.39,9,36.3,5.1
SD,21,8/28/2017,CMP 632,7.04,8.25,48.8,0.616,0.413,0.347,2.23,1.85,0.52,0,1.33,8.7,47.2,8
SD,22,8/28/2017,CMP 633,7.42,8.16,54.4,0.53,0.318,0.29,1.9,1.8,0.72,0.03,1.05,8.5,49.2,6.4
SD,23,8/28/2017,CMP 634,7.66,8.26,50.2,0.542,0.271,0.216,1.84,1.59,0.61,0.01,0.97,7.8,42.2,7.8
SD,24,8/28/2017,CMP 635,7.69,8.23,83.7,0.511,0.258,0.238,1.83,1.65,0.68,0.02,0.95,7.8,66.6,9.6
PT,1,8/29/2017,CMP 636,6.34,8.35,38.4,0.776,0.569,0.468,2.46,2.27,0.76,0.03,1.48,10.6,35,5.7
PT,2,8/29/2017,CMP 637,6.34,8.37,36,0.772,0.536,0.468,2.29,2.09,0.74,0.01,1.35,10.7,32.3,5.2
PT,3,8/29/2017,CMP 638,6.35,8.4,43.2,0.782,0.545,0.487,2.2,2,0.72,0.01,1.27,10.7,40.8,6.4
PT,4,8/29/2017,CMP 639,6.31,8.37,44.5,0.763,0.547,0.438,2.19,2.06,0.73,0.01,1.31,10.6,42,6.1
PT,5,8/29/2017,CMP 640,6.32,8.39,40.9,0.769,0.558,0.45,2.24,2.07,0.68,0.01,1.38,10.4,38.7,6.6
PT,6,8/29/2017,CMP 641,6.27,8.4,38.6,0.831,0.597,0.568,2.46,2.32,0.73,0.01,1.59,10.3,34.6,5.6
PT,7,8/29/2017,CMP 642,6.44,8.4,40.2,0.757,0.581,0.518,2.54,2.35,0.61,0.01,1.73,10.4,36,6.3
PT,8,8/29/2017,CMP 643,6.6,8.4,45.7,0.804,0.544,0.456,2.42,2.25,0.6,0.02,1.63,9.3,39.8,6.8
PT,9,8/29/2017,CMP 644,6.66,8.39,30.3,0.757,0.533,0.502,2.46,2.2,0.62,0.01,1.57,9.3,27.5,5
PT,10,8/29/2017,CMP 645,6.7,8.37,21.1,0.647,0.5,0.413,2.29,2.1,0.58,0.01,1.51,9.1,20.1,3.2
PT,11,8/29/2017,CMP 646,6.58,8.37,26.7,0.711,0.539,0.468,2.42,2.24,0.55,0.01,1.68,9.5,17.5,4.2
PT,12,8/29/2017,CMP 647,6.42,8.4,28.6,0.794,0.592,0.518,2.55,2.34,0.57,0.01,1.76,9.6,27.3,6.3
PT,13,8/29/2017,CMP 648,6.33,8.38,34.4,0.769,0.58,0.493,2.37,2.16,0.67,0.01,1.49,10.6,31.5,5.9
PT,14,8/29/2017,CMP 649,6.22,8.35,46.9,0.783,0.539,0.475,2.17,1.93,0.64,0.01,1.28,10.9,28.4,5.2
PT,15,8/29/2017,CMP 650,6.17,8.37,36.3,0.763,0.528,0.493,2.13,1.97,0.77,0.01,1.19,11.3,33,6.6
PT,16,8/29/2017,CMP 651,6.14,8.36,30.4,0.708,0.55,0.518,2.03,1.82,0.76,0.01,1.05,11.7,29.1,5.6
PT,17,8/29/2017,CMP 652,6.02,8.4,38.8,0.769,0.499,0.468,1.99,1.79,0.87,0.01,0.91,12.5,37.8,5.4
PT,18,8/29/2017,CMP 653,5.94,8.37,38.2,0.714,0.474,0.425,1.92,1.77,0.86,0.01,0.91,12,37.9,5.7
PT,19,8/29/2017,CMP 654,6.2,8.38,38.2,0.757,0.536,0.499,2.11,1.95,0.73,0.02,1.2,11.4,36.8,5.5
PT,20,8/29/2017,CMP 655,6.36,8.36,45.7,0.852,0.556,0.53,2.32,2.22,0.84,0.01,1.37,11.4,45.3,6.4
PT,21,8/29/2017,CMP 656,6.3,8.37,42.7,0.923,0.646,0.554,2.76,2.59,0.73,0.01,1.85,10.9,41.5,6.1
PT,22,8/29/2017,CMP 657,6.24,8.39,34,0.892,0.717,0.69,3.09,2.76,0.64,0.02,2.1,10.7,32.8,5.1
PT,23,8/29/2017,CMP 658,6.32,8.37,33.6,0.892,0.644,0.591,3.03,2.77,0.63,0.01,2.13,10.7,33.4,4.9
PT,24,8/29/2017,CMP 659,6.3,8.34,51.7,0.953,0.681,0.61,2.91,2.79,0.67,0.01,2.11,10.5,44,5.9
HL,1,8/29/2017,CMP 660,6.33,8.44,21.3,0.879,0.644,0.567,2.99,2.86,0.73,0.04,2.09,10.1,20.6,3.2
HL,2,8/29/2017,CMP 661,6.24,8.45,23.9,0.862,0.674,0.585,3.01,2.72,0.51,0.06,2.16,10.2,22.8,3.8
HL,3,8/29/2017,CMP 662,6.05,8.47,25.4,0.935,0.671,0.591,2.98,2.81,0.63,0.04,2.14,10.4,20.8,4
HL,4,8/29/2017,CMP 663,6.19,8.48,25.9,0.874,0.717,0.683,2.82,2.64,0.54,0.03,2.07,10.1,24.9,3.6
HL,5,8/29/2017,CMP 664,6.25,8.45,26.4,0.935,0.687,0.659,2.94,2.81,0.71,0.04,2.05,10.1,25.8,4.1
HL,6,8/29/2017,CMP 665,6.31,8.47,32.6,0.966,0.706,0.677,2.95,2.72,0.69,0.03,2,9.9,28.4,4.7
HL,7,8/29/2017,CMP 666,6.38,8.45,38.5,0.902,0.623,0.554,2.73,2.67,0.68,0.04,1.95,9.9,35.2,4.5
HL,8,8/29/2017,CMP 667,6.54,8.42,27.2,0.794,0.576,0.499,2.49,2.4,0.55,0.03,1.82,7.8,24.4,4.3
HL,9,8/29/2017,CMP 668,6.74,8.42,24.9,0.733,0.515,0.425,2.33,2.17,0.49,0.03,1.65,9.5,21.5,3.6
HL,10,8/29/2017,CMP 669,6.9,8.42,25.6,0.64,0.464,0.376,2.2,2,0.48,0.02,1.5,8.9,20.5,3.6
HL,11,8/29/2017,CMP 670,6.79,8.4,22.7,0.64,0.45,0.389,2.15,2,0.51,0.03,1.47,8.6,19.6,3.7
HL,12,8/29/2017,CMP 671,6.76,8.44,28.8,0.714,0.512,0.413,2.3,2.16,0.5,0.02,1.65,9.1,23,4
HL,13,8/29/2017,CMP 672,6.4,8.44,25.1,0.8,0.56,0.499,2.52,2.45,0.62,0.02,1.81,9.1,18.9,4.3
HL,14,8/29/2017,CMP 673,6.38,8.46,33.6,0.871,0.622,0.524,2.67,2.58,0.63,0.02,1.93,10.6,31.4,5.2
HL,15,8/29/2017,CMP 674,6.17,8.45,41.5,0.862,0.617,0.511,2.56,2.47,0.61,0.03,1.83,10.1,39.2,6
HL,16,8/29/2017,CMP 675,6.31,8.45,44.3,0.843,0.609,0.511,2.25,2.19,0.67,0.02,1.51,10.8,41.7,6.3
HL,17,8/29/2017,CMP 676,6.28,8.44,60.6,0.939,0.593,0.493,2.24,2.13,0.8,0.03,1.3,11.2,57.5,9.9
HL,18,8/29/2017,CMP 677,6.38,8.39,42.2,0.855,0.586,0.518,2.09,1.87,0.89,0.02,0.96,11.8,36.9,6
HL,19,8/29/2017,CMP 678,6.49,8.35,34.4,0.905,0.584,0.528,1.88,1.81,0.89,0.01,0.91,12,31.6,5.7
HL,20,8/29/2017,CMP 679,6.49,8.38,37.4,0.886,0.579,0.53,2.01,1.9,0.9,0.01,0.99,11.8,32.1,5.8
HL,21,8/29/2017,CMP 680,6.14,8.42,37.7,0.88,0.668,0.524,2.46,2.33,0.65,0.01,1.67,10.5,30.6,5.4
HL,22,8/29/2017,CMP 681,6.2,8.38,38.4,0.965,0.715,0.633,3.2,3.13,0.72,0.01,2.4,10,32.7,6.1
HL,23,8/29/2017,CMP 682,6.28,8.38,27.2,0.951,0.703,0.591,3.04,2.93,0.59,0.01,2.33,10.9,20.5,4.6
HL,24,8/29/2017,CMP 683,6.43,8.4,34.5,0.886,0.635,0.554,2.81,2.73,0.79,0.03,1.91,10.3,29.7,4.9
WL-OUT,1,8/29/2017,CMP 684,6.51,7.92,21.4,0.74,0.533,0.493,1.2,1.03,0.87,0.03,0.13,13.5,15.7,6
WL-OUT,2,8/29/2017,CMP 685,6.43,7.96,18.3,0.674,0.492,0.456,1.18,0.98,0.79,0.04,0.15,13.6,14,5.5
WL-OUT,3,8/29/2017,CMP 686,6.42,7.98,18.7,0.697,0.533,0.505,1.14,1.08,1.01,0.05,0.03,13.4,17.1,5.2
WL-OUT,4,8/29/2017,CMP 687,6.4,8.02,22.5,0.705,0.463,0.419,1.35,1.11,0.93,0.04,0.13,12.2,20.2,5.4
WL-OUT,5,8/29/2017,CMP 688,6.47,7.94,18.6,0.706,0.458,0.395,1.49,1.33,0.79,0.03,0.51,11.4,18.1,3.9
WL-OUT,6,8/29/2017,CMP 689,6.39,7.99,21.2,0.709,0.469,0.45,1.54,1.48,0.72,0.03,0.72,11.1,18.9,4
WL-OUT,7,8/29/2017,CMP 690,6.37,8.05,24.7,0.806,0.511,0.444,1.84,1.68,0.54,0.04,1.11,10.8,19.8,5.1
WL-OUT,8,8/29/2017,CMP 691,6.45,8.07,29.2,0.794,0.536,0.45,1.86,1.87,0.54,0.04,1.29,10.4,24,5.4
WL-OUT,9,8/29/2017,CMP 692,6.46,8.12,26.5,0.776,0.528,0.444,1.9,1.87,0.53,0.03,1.31,10.3,21.7,5.3
WL-OUT,10,8/29/2017,CMP 693,6.54,8.04,23.9,0.72,0.438,0.377,1.46,1.47,0.55,0.04,0.88,10.9,19.2,4.7
WL-OUT,11,8/29/2017,CMP 694,6.54,7.93,18.3,0.688,0.455,0.395,1.55,1.43,0.55,0.05,0.83,10.7,15.3,4.3
WL-OUT,12,8/29/2017,CMP 695,6.52,8.06,20.7,0.671,0.426,0.365,1.37,1.32,0.58,0.06,0.68,10.9,17.4,4.1
WL-OUT,13,8/29/2017,CMP 696,6.52,7.88,21.3,0.6,0.418,0.359,1.42,1.33,0.61,0.05,0.67,10.8,16.9,4.6
WL-OUT,14,8/29/2017,CMP 697,6.49,7.87,16,0.633,0.431,0.407,1.37,1.35,0.67,0.05,0.62,11.4,13.9,3.6
WL-OUT,15,8/29/2017,CMP 698,6.53,8.1,15.1,0.569,0.418,0.356,1.31,1.28,0.66,0.05,0.57,11.6,12.8,3.6
WL-OUT,16,8/29/2017,CMP 699,6.51,7.89,15,0.612,0.448,0.359,1.19,1.19,0.75,0.06,0.38,13.6,12.3,4.2
WL-OUT,17,8/29/2017,CMP 700,6.57,7.82,14.1,0.658,0.425,0.377,1.18,1.16,0.8,0.05,0.31,12.9,12.9,3.7
WL-OUT,18,8/29/2017,CMP 701,6.59,7.99,13.5,0.635,0.42,0.389,1.16,1.11,0.8,0.05,0.25,12.1,13.1,3.7
WL-OUT,19,8/29/2017,CMP 702,6.55,7.83,14.2,0.635,0.469,0.444,1.12,1.08,0.88,0.06,0.14,13.7,13.6,3.9
WL-OUT,20,8/29/2017,CMP 703,6.52,8.11,14.3,0.68,0.435,0.383,1.09,1.08,0.86,0.05,0.17,13.6,12.5,4
WL-OUT,21,8/29/2017,CMP 704,6.55,7.81,16.4,0.655,0.399,0.347,1.19,1.17,0.76,0.06,0.35,12.9,15.8,4.5
WL-OUT,22,8/29/2017,CMP 705,6.48,7.92,15.5,0.629,0.42,0.359,1.33,1.22,0.68,0.05,0.49,12.4,11.8,3.5
WL-OUT,23,8/29/2017,CMP 706,6.54,7.77,14.9,0.643,0.426,0.371,1.28,1.26,0.74,0.04,0.48,12.5,14.2,4.2
WL-OUT,24,8/29/2017,CMP 707,6.37,8.07,15.6,0.694,0.445,0.419,1.52,1.51,0.63,0.04,0.84,11.5,15.4,3.8
PT ,1,9/11/2017,CMP 708,6.82,8.36,130,0.991,0.545,0.499,2.39,2.12,0.62,0.01,1.49,10.8,123.6,15.8
PT ,2,9/11/2017,CMP 709,6.92,8.3,41.2,0.709,0.568,0.487,2.36,2.28,0.67,0.01,1.61,10.7,39.4,5.9
PT ,3,9/11/2017,CMP 710,6.99,8.25,42.8,0.843,0.695,0.653,2.73,2.51,0.61,0.01,1.89,10.2,41.1,6
PT ,4,9/11/2017,CMP 711,7.02,8.15,44,0.788,0.681,0.665,2.96,2.68,0.69,0.01,1.98,10.1,43.5,6
PT ,5,9/11/2017,CMP 712,7.18,8.34,55.4,0.753,0.605,0.505,2.81,2.53,0.58,0.03,1.92,9.7,51.9,8.1
PT ,6,9/11/2017,CMP 713,7.36,8.37,52.3,0.634,0.474,0.416,2.35,2.19,0.61,0.01,1.57,9.1,47,8.1
PT ,7,9/11/2017,CMP 714,7.44,8.3,38.7,0.579,0.47,0.438,2.28,2.08,0.64,0.01,1.43,8.9,31.4,6.3
PT ,8,9/11/2017,CMP 715,7.48,8.3,36,0.661,0.542,0.475,2.28,2.22,0.61,0.02,1.59,8.8,28.5,5.9
PT ,9,9/11/2017,CMP 716,7.4,8.3,42.7,0.642,0.504,0.432,2.29,2.13,0.61,0.01,1.51,9.1,41.1,5.9
PT ,10,9/11/2017,CMP 717,7.07,8.14,72.3,0.831,0.632,0.591,2.69,2.55,0.69,0.01,1.86,9.6,69.7,9.4
