Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS
FM,1,2017-06-12T08:25:00Z,1,CMP 1,2.05,8.33,66.7,0.593,0.395,0.328,2.9,2.74,1.76,0.04,0.95,13.1,57.8,9.9,1,2017-06-12T08:30:00Z
FM,2,2017-06-12T09:25:00Z,1,CMP 2,2.21,8.27,63.5,0.602,0.395,0.344,2.61,2.55,1.63,0.04,0.89,13.8,52.4,8.8,2,2017-06-12T09:30:00Z
FM,3,2017-06-12T10:25:00Z,1,CMP 3,2.52,8.25,70.1,0.593,0.365,0.328,2.51,2.34,1.6,0.04,0.7,14.5,60.4,9,3,2017-06-12T10:30:00Z
FM,4,2017-06-12T11:25:00Z,1,CMP 4,2.71,8.22,73.5,0.62,0.346,0.314,2.31,2.24,1.63,0.04,0.57,14.9,57.8,8.3,4,2017-06-12T11:30:00Z
FM,5,2017-06-12T12:25:00Z,1,CMP 5,2.78,8.35,75.4,0.593,0.358,0.31,2.46,2.36,1.78,0.04,0.55,15.5,54.3,8.3,5,2017-06-12T12:30:00Z
FM,6,2017-06-12T13:25:00Z,1,CMP 6,2.48,8.18,144,0.804,0.358,0.31,2.6,2.36,1.62,0.03,0.71,14.2,121.7,16.2,6,2017-06-12T13:30:00Z
FM,7,2017-06-12T14:25:00Z,1,CMP 7,2,8.34,81.5,0.758,0.475,0.431,2.72,2.52,1.17,0.05,1.3,13.3,84.4,11.1,7,2017-06-12T14:30:00Z
FM,8,2017-06-12T15:25:00Z,1,CMP 8,1.9,8.19,67.9,0.565,0.297,0.262,2.64,2.12,1.35,0.04,0.73,12.4,62.5,8.2,8,2017-06-12T15:30:00Z
FM,9,2017-06-12T16:25:00Z,1,CMP 9,1.41,7.99,113,0.427,0.125,0.098,1.98,1.76,1.48,0.03,0.25,10.3,100.2,13.7,9,2017-06-12T16:30:00Z
FM,10,2017-06-12T17:25:00Z,1,CMP 10,1.26,7.89,81.4,0.335,0.094,0.074,1.6,1.54,1.29,0.04,0.21,10,69.7,10.3,10,2017-06-12T17:30:00Z
FM,11,2017-06-12T18:25:00Z,1,CMP 11,1.42,8.01,77.6,0.353,0.119,0.096,1.72,1.68,1.39,0.03,0.26,10.3,65.9,10.2,11,2017-06-12T18:30:00Z
FM,12,2017-06-12T19:25:00Z,1,CMP 12,1.39,8.04,60.1,0.298,0.125,0.103,1.77,1.65,1.36,0.04,0.25,10.5,43.6,7.7,12,2017-06-12T19:30:00Z
FM,13,2017-06-12T20:25:00Z,1,CMP 13,1.64,8.11,60.9,0.381,0.174,0.162,2.34,1.85,1.42,0.03,0.39,11.1,48.1,7.9,13,2017-06-12T20:30:00Z
FM,14,2017-06-12T21:25:00Z,1,CMP 14,1.9,8.23,57.1,0.538,0.309,0.268,2.77,2.57,1.8,0.04,0.73,12.6,50.7,7.8,14,2017-06-12T21:30:00Z
FM,15,2017-06-12T22:25:00Z,1,CMP 15,2,8.45,53.5,0.593,0.401,0.349,2.9,2.52,1.46,0.05,1.01,13,48.6,7.9,15,2017-06-12T22:30:00Z
FM,16,2017-06-12T23:25:00Z,1,CMP 16,2,8.29,57.4,0.584,0.395,0.358,2.87,2.37,1.31,0.06,1.01,12.8,46.7,6.6,16,2017-06-12T23:30:00Z
FM,17,2017-06-13T00:25:00Z,1,CMP 17,1.78,8.32,55.4,0.464,0.279,0.242,2.48,2.07,1.38,0.04,0.65,11.9,43.8,7.2,17,2017-06-13T00:30:00Z
FM,18,2017-06-13T01:25:00Z,1,CMP 18,1.66,8.07,58.6,0.399,0.223,0.196,2.21,1.96,1.39,0.05,0.52,11.3,43.1,6.8,18,2017-06-13T01:30:00Z
FM,19,2017-06-13T02:25:00Z,1,CMP 19,1.44,8.06,61.2,0.363,0.18,0.145,2.18,2.07,1.57,0.06,0.44,11.2,46.3,7.3,19,2017-06-13T02:30:00Z
FM,20,2017-06-13T03:25:00Z,1,CMP 20,1.31,7.99,53.5,0.289,0.131,0.108,2.1,1.95,1.57,0.04,0.34,9.8,45.4,6,20,2017-06-13T03:30:00Z
FM,21,2017-06-13T04:25:00Z,1,CMP 21,1.33,8,52.6,0.353,0.15,0.125,1.95,1.72,1.31,0.04,0.37,9.9,41.1,7,21,2017-06-13T04:30:00Z
FM,22,2017-06-13T05:25:00Z,1,CMP 22,1.4,7.99,62.6,0.372,0.168,0.143,1.79,1.72,1.31,0.05,0.36,10.6,45.7,7.3,22,2017-06-13T05:30:00Z
FM,23,2017-06-13T06:25:00Z,1,CMP 23,1.47,8.18,70,0.399,0.18,0.15,2.04,1.97,1.48,0.06,0.43,10.6,56.2,9.2,23,2017-06-13T06:30:00Z
FM,24,2017-06-13T07:25:00Z,1,CMP 24,1.61,8.08,71.6,0.446,0.223,0.192,2.05,1.99,1.42,0.06,0.51,11.4,67.4,11,24,2017-06-13T07:30:00Z
FM,1,2017-06-22T11:15:00Z,2,CMP 128,2.2,7.69,71.3,0.668,0.338,0.26,1.42,0.96,0.93,0.02,0,17.7,66.4,11.1,128,2017-06-22T11:15:00Z
FM,2,2017-06-22T12:15:00Z,2,CMP 129,1.63,7.65,172,0.905,0.179,0.131,1.32,0.93,0.69,0.03,0.2,12.4,159.5,27.3,129,2017-06-22T12:15:00Z
FM,3,2017-06-22T13:15:00Z,2,CMP 130,1.43,7.53,105,0.535,0.122,0.073,1.01,0.68,0.64,0.04,0,12.5,108,14.2,130,2017-06-22T13:15:00Z
FM,4,2017-06-22T14:15:00Z,2,CMP 131,1.44,7.63,77.7,0.411,0.141,0.09,1.01,0.83,0.66,0.03,0.15,11.2,72.9,9.3,131,2017-06-22T14:15:00Z
FM,5,2017-06-22T15:15:00Z,2,CMP 132,1.64,7.62,267,1.144,0.166,0.112,1.34,0.78,0.7,0.02,0.06,14.7,230,39.5,132,2017-06-22T15:15:00Z
FM,6,2017-06-22T16:15:00Z,2,CMP 133,1.88,7.65,73.4,0.535,0.274,0.214,1.45,1.26,0.75,0.02,0.49,15.1,74.2,11.2,133,2017-06-22T16:15:00Z
FM,7,2017-06-22T17:15:00Z,2,CMP 134,2.08,7.77,238,1.182,0.401,0.337,2.09,1.81,0.83,0.03,0.96,16,246.9,30,134,2017-06-22T17:15:00Z
FM,8,2017-06-22T18:15:00Z,2,CMP 135,2.12,7.85,334,1.533,0.484,0.387,2.32,2.1,0.9,0.02,1.17,15.7,314.7,48.4,135,2017-06-22T18:15:00Z
FM,9,2017-06-22T19:15:00Z,2,CMP 136,1.98,7.81,99.7,0.744,0.401,0.334,2.03,1.9,0.87,0.03,0.99,15.4,84,10,136,2017-06-22T19:15:00Z
FM,10,2017-06-22T20:15:00Z,2,CMP 137,1.83,7.77,102,0.754,0.312,0.26,2.04,1.78,0.86,0.03,0.9,14.7,116.4,16.8,137,2017-06-22T20:15:00Z
FM,11,2017-06-22T21:15:00Z,2,CMP 138,1.75,7.99,98.8,0.744,0.445,0.361,2.29,2.09,0.79,0.02,1.28,12.8,93.8,13.1,138,2017-06-22T21:15:00Z
FM,12,2017-06-22T22:15:00Z,2,CMP 139,1.81,7.87,84.6,0.659,0.382,0.319,2.04,1.77,0.72,0.02,1.02,14.1,82,11.7,139,2017-06-22T22:15:00Z
FM,13,2017-06-22T23:15:00Z,2,CMP 140,1.58,8.08,216,0.811,0.23,0.189,1.5,1.24,0.54,0.02,0.68,10.3,204.2,24.7,140,2017-06-22T23:15:00Z
FM,14,2017-06-23T00:15:00Z,2,CMP 141,1.91,7.82,216.9,0.759,0.141,0.1,0.95,0.78,0.42,0.01,0.34,7.9,207.4,24.9,141,2017-06-23T00:15:00Z
FM,15,2017-06-23T01:15:00Z,2,CMP 142,2.53,7.79,131,0.449,0.109,0.081,0.82,0.74,0.45,0.01,0.28,7,135,17,142,2017-06-23T01:15:00Z
FM,16,2017-06-23T02:15:00Z,2,CMP 143,2.66,7.66,66.6,0.297,0.103,0.089,0.7,0.65,0.38,0.02,0.24,6.8,57.4,8.5,143,2017-06-23T02:15:00Z
FM,17,2017-06-23T03:15:00Z,2,CMP 144,2.14,7.6,150,0.544,0.134,0.102,1,0.73,0.41,0.02,0.3,7.8,147.3,19,144,2017-06-23T03:15:00Z
FM,18,2017-06-23T04:15:00Z,2,CMP 145,1.79,7.62,235,0.954,0.23,0.184,1.46,1.05,0.5,0.02,0.53,9.2,237.9,42.4,145,2017-06-23T04:15:00Z
FM,19,2017-06-23T05:15:00Z,2,CMP 146,1.89,7.62,160,0.858,0.344,0.267,1.84,1.49,0.73,0.03,0.73,12.7,156.3,23.2,146,2017-06-23T05:15:00Z
FM,20,2017-06-23T06:15:00Z,2,CMP 147,2.04,7.69,92.5,0.697,0.363,0.302,1.75,1.47,0.74,0.03,0.7,14.7,86.8,13.8,147,2017-06-23T06:15:00Z
FM,21,2017-06-23T07:15:00Z,2,CMP 148,2.29,7.68,64.8,0.668,0.388,0.32,1.9,1.43,0.79,0.02,0.63,16.7,54.3,10,148,2017-06-23T07:15:00Z
FM,22,2017-06-23T08:15:00Z,2,CMP 149,2.5,7.69,87.7,0.839,0.395,0.328,2.14,1.47,0.88,0.02,0.56,18.1,81.4,15.3,149,2017-06-23T08:15:00Z
FM,23,2017-06-23T09:15:00Z,2,CMP 150,2.58,7.93,123,0.839,0.388,0.332,1.85,1.48,0.94,0.04,0.5,18.4,116.4,16.9,150,2017-06-23T09:15:00Z
FM,24,2017-06-23T10:15:00Z,2,CMP 151,2.5,7.71,85.9,0.725,0.42,0.326,1.84,1.56,0.97,0.02,0.57,18.1,77.9,12.8,151,2017-06-23T10:15:00Z
FM,1,2017-07-17T11:30:00Z,3,CMP 225,2.31,8.06,78.2,0.659,0.395,0.332,1.5,1.65,0.62,0.09,0.95,12.7,61.4,11.9,225,2017-07-17T11:30:00Z
FM,1,2017-07-17T12:30:00Z,3,CMP 228,2.89,8.2,69.1,0.693,0.397,0.376,2.67,1.97,0.61,0.02,1.34,12.6,62.7,13.3,228,2017-07-17T12:30:00Z
FM,2,2017-07-17T13:30:00Z,3,CMP 229,2.79,8.23,65.9,0.739,0.465,0.441,3.06,2.18,0.58,0.02,1.58,12,63.3,11.6,229,2017-07-17T13:30:00Z
FM,3,2017-07-17T14:30:00Z,3,CMP 230,2.82,8.22,58.3,0.656,0.459,0.438,2.67,2.17,0.62,0.03,1.52,13.4,53.6,10.8,230,2017-07-17T14:30:00Z
FM,4,2017-07-17T15:30:00Z,3,CMP 231,2.9,8.26,92.3,0.749,0.465,0.443,2.44,1.95,0.59,0.01,1.35,13,88.4,13.5,231,2017-07-17T15:30:00Z
FM,5,2017-07-17T16:30:00Z,3,CMP 232,2.87,8.19,130,0.841,0.446,0.414,2.58,2.05,0.68,0.02,1.35,13.8,126.3,19.9,232,2017-07-17T16:30:00Z
FM,6,2017-07-17T17:30:00Z,3,CMP 233,2.75,8.25,211,1.034,0.41,0.384,2.56,2,0.55,0.02,1.42,11.9,207.9,29.5,233,2017-07-17T17:30:00Z
FM,7,2017-07-17T18:30:00Z,3,CMP 234,2.75,8.23,352,1.357,0.453,0.436,3.02,2.18,0.52,0.03,1.63,11.6,333.7,48,234,2017-07-17T18:30:00Z
FM,8,2017-07-17T19:30:00Z,3,CMP 235,2.76,8.27,158,0.868,0.428,0.406,2.61,2.13,0.55,0.02,1.55,11.1,147.2,21.7,235,2017-07-17T19:30:00Z
FM,9,2017-07-17T20:30:00Z,3,CMP 236,2.79,8.28,175,0.933,0.446,0.419,2.99,2.09,0.59,0.02,1.48,12.4,161.8,24.1,236,2017-07-17T20:30:00Z
FM,10,2017-07-17T21:30:00Z,3,CMP 237,2.56,8.24,128,0.656,0.288,0.267,2.38,1.51,0.54,0.02,0.95,10.6,127.8,17.1,237,2017-07-17T21:30:00Z
FM,11,2017-07-17T22:30:00Z,3,CMP 238,2.85,8.18,69.5,0.592,0.317,0.295,2.35,1.64,0.51,0.03,1.1,9.9,69.6,9.9,238,2017-07-17T22:30:00Z
FM,12,2017-07-17T23:30:00Z,3,CMP 239,3.09,8.18,72.2,0.362,0.207,0.184,1.39,1.1,0.38,0.03,0.69,8,67.2,10.8,239,2017-07-17T23:30:00Z
FM,13,2017-07-18T00:30:00Z,3,CMP 240,2.74,8.21,48.1,0.463,0.331,0.305,1.94,1.6,0.47,0.02,1.11,10.6,42.1,8.5,240,2017-07-18T00:30:00Z
FM,14,2017-07-18T01:30:00Z,3,CMP 241,2.7,8.24,56.5,0.592,0.397,0.374,2.49,1.92,0.57,0.01,1.34,11.3,51.2,9.4,241,2017-07-18T01:30:00Z
FM,15,2017-07-18T02:30:00Z,3,CMP 242,2.75,8.28,60.2,0.629,0.489,0.419,2.44,2.05,0.51,0.02,1.52,11.3,53.5,10,242,2017-07-18T02:30:00Z
FM,16,2017-07-18T03:30:00Z,3,CMP 243,2.84,8.34,52.9,0.601,0.459,0.436,2.43,2.07,0.54,0.02,1.51,11.6,47.3,9.4,243,2017-07-18T03:30:00Z
FM,17,2017-07-18T04:30:00Z,3,CMP 244,2.88,8.24,52.4,0.629,0.454,0.432,2.55,1.99,0.55,0.03,1.4,12.2,50.4,10.4,244,2017-07-18T04:30:00Z
FM,18,2017-07-18T05:30:00Z,3,CMP 245,2.9,8.29,56.2,0.62,0.446,0.419,2.51,1.97,0.64,0.02,1.3,12.4,52.5,11.2,245,2017-07-18T05:30:00Z
FM,19,2017-07-18T06:30:00Z,3,CMP 246,2.94,8.27,85.2,0.73,0.45,0.425,2.56,1.97,0.67,0.04,1.26,12.9,86.4,12.6,246,2017-07-18T06:30:00Z
FM,20,2017-07-18T07:30:00Z,3,CMP 247,3,8.19,360,1.404,0.428,0.39,3.15,1.94,0.7,0.03,1.22,12.8,348.3,45.7,247,2017-07-18T07:30:00Z
FM,21,2017-07-18T08:30:00Z,3,CMP 248,2.79,8.25,422,1.569,0.556,0.53,3.77,2.7,0.69,0.04,1.96,12.5,386.2,47.7,248,2017-07-18T08:30:00Z
FM,22,2017-07-18T09:30:00Z,3,CMP 249,2.8,8.27,253,1.246,0.502,0.478,2.95,2.37,0.65,0.03,1.69,12.1,231.2,31.2,249,2017-07-18T09:30:00Z
FM,23,2017-07-18T10:30:00Z,3,CMP 250,2.75,8.24,150,0.822,0.41,0.376,2.22,1.94,0.57,0.02,1.35,11.7,133.4,21.8,250,2017-07-18T10:30:00Z
FM,24,2017-07-18T11:30:00Z,3,CMP 251,2.6,8.2,119,0.592,0.287,0.262,1.89,1.57,0.61,0.03,0.93,10.9,110.4,18.1,251,2017-07-18T11:30:00Z
FM,1,2017-07-26T08:03:00Z,4,CMP 396,3.86,7.94,84.3,0.574,0.341,0.314,1.92,1.5,0.67,0.01,0.81,12.4,78.4,11.3,396,2017-07-26T08:00:00Z
FM,2,2017-07-26T09:03:00Z,4,CMP 397,3.9,8.03,113,0.666,0.319,0.3,1.87,1.43,0.63,0.03,0.78,11.9,112.6,15.7,397,2017-07-26T09:00:00Z
FM,3,2017-07-26T10:03:00Z,4,CMP 398,3.84,8.06,80.1,0.555,0.315,0.294,1.76,1.42,0.65,0.01,0.77,12.2,79.7,12.2,398,2017-07-26T10:00:00Z
FM,4,2017-07-26T11:03:00Z,4,CMP 399,3.89,8.09,111,0.656,0.327,0.314,1.8,1.43,0.63,0.01,0.79,12.6,107.1,15.3,399,2017-07-26T11:00:00Z
FM,5,2017-07-26T12:03:00Z,4,CMP 400,3.85,8.13,89.4,0.629,0.358,0.325,1.69,1.42,0.59,0,0.82,12.7,89.6,13.5,400,2017-07-26T12:00:00Z
FM,6,2017-07-26T13:03:00Z,4,CMP 401,3.98,8.15,70.6,0.52,0.278,0.228,1.6,1.15,0.67,0,0.48,12.3,64,14.5,401,2017-07-26T13:00:00Z
FM,7,2017-07-26T14:03:00Z,4,CMP 402,3.54,8.16,115,0.641,0.266,0.226,2.24,2.04,0.64,0.01,1.4,12.6,106.1,15.4,402,2017-07-26T14:00:00Z
FM,8,2017-07-26T15:03:00Z,4,CMP 403,3.62,8.17,178,0.933,0.498,0.471,2.23,2.06,0.59,0,1.47,12,160.8,23.1,403,2017-07-26T15:00:00Z
FM,9,2017-07-26T16:03:00Z,4,CMP 404,3.7,8.12,98.8,0.712,0.427,0.401,2,1.79,0.54,0.01,1.24,11.3,85.5,12.9,404,2017-07-26T16:00:00Z
FM,10,2017-07-26T17:03:00Z,4,CMP 405,3.85,8.11,91.4,0.564,0.296,0.284,1.43,1.4,0.58,0.01,0.81,10.8,90.6,13.7,405,2017-07-26T17:00:00Z
FM,11,2017-07-26T18:03:00Z,4,CMP 406,3.99,7.94,72.1,0.38,0.143,0.137,0.91,0.87,0.49,0,0.37,9.6,65.7,7,406,2017-07-26T18:00:00Z
FM,12,2017-07-26T19:03:00Z,4,CMP 407,4.61,7.93,133,0.5,0.149,0.14,1.27,0.93,0.48,0,0.45,8.7,126.7,16.8,407,2017-07-26T19:00:00Z
FM,13,2017-07-26T20:03:00Z,4,CMP 408,4.22,7.83,171,0.54,0.13,0.12,1.24,0.65,0.57,0,0.08,9.5,164.8,21.2,408,2017-07-26T20:00:00Z
FM,14,2017-07-26T21:03:00Z,4,CMP 409,4.02,7.95,92.1,0.435,0.162,0.121,1.01,0.72,0.61,0,0.11,10.4,92.3,13.2,409,2017-07-26T21:00:00Z
FM,15,2017-07-26T22:03:00Z,4,CMP 410,3.83,8.06,138,0.673,0.245,0.179,1.3,0.99,0.77,0,0.21,11.9,136,19.1,410,2017-07-26T22:00:00Z
FM,16,2017-07-26T23:03:00Z,4,CMP 411,3.85,8.11,62,0.527,0.348,0.314,1.22,0.94,0.75,0,0.18,12.1,55,9.6,411,2017-07-26T23:00:00Z
FM,17,2017-07-27T00:03:00Z,4,CMP 412,3.79,8.06,92.1,0.647,0.389,0.316,1.33,0.95,0.71,0.01,0.23,11.8,88.5,13.7,412,2017-07-27T00:00:00Z
FM,18,2017-07-27T01:03:00Z,4,CMP 413,3.74,8.07,63,0.592,0.407,0.37,1.27,0.93,0.68,0,0.25,11.8,53,11.1,413,2017-07-27T01:00:00Z
FM,19,2017-07-27T02:03:00Z,4,CMP 414,3.89,8.11,60.9,0.564,0.389,0.354,1.31,1.03,0.8,0,0.23,11.1,55.2,9.8,414,2017-07-27T02:00:00Z
FM,20,2017-07-27T03:03:00Z,4,CMP 415,4.05,8.13,73.2,0.574,0.401,0.351,1.33,1.01,0.74,0.01,0.26,10.6,69.2,10.1,415,2017-07-27T03:00:00Z
FM,21,2017-07-27T04:03:00Z,4,CMP 416,4.06,8.13,62.1,0.564,0.395,0.373,1.42,0.99,0.72,0.02,0.25,10.3,57,8,416,2017-07-27T04:00:00Z
FM,22,2017-07-27T05:03:00Z,4,CMP 417,4.11,8.2,65.1,0.546,0.358,0.351,1.26,0.95,0.71,0,0.24,10.3,60,8.9,417,2017-07-27T05:00:00Z
